B-Value	Phase		Read		Slice
1500.00	1.000000	0.000000	0.000000
1500.00	0.000000	1.000000	0.000000
1500.00	0.000000	0.000000	1.000000
1500.00	1.000000	0.000000	0.000000
1500.00	0.000000	1.000000	0.000000
1500.00	0.000000	0.000000	1.000000
1500.00	1.000000	0.000000	0.000000
1500.00	0.000000	1.000000	0.000000
1500.00	0.000000	0.000000	1.000000
1500.00	1.000000	0.000000	0.000000
1500.00	0.000000	1.000000	0.000000
1500.00	0.000000	0.000000	1.000000
1500.00	1.000000	0.000000	0.000000
1500.00	0.000000	1.000000	0.000000
1500.00	0.000000	0.000000	1.000000
