mask_name,tdm_id,roi_id
MNI_space_thr_50_Thalamic_Radiation_Superior_R_mask.nii.gz,0,59
MNI_space_thr_50_Thalamic_Radiation_Superior_R_mask.nii.gz,1,59
MNI_space_thr_50_Thalamic_Radiation_Superior_R_mask.nii.gz,2,59
MNI_space_thr_50_Uncinate_Fasciculus_L_mask.nii.gz,0,60
MNI_space_thr_50_Uncinate_Fasciculus_L_mask.nii.gz,1,60
MNI_space_thr_50_Uncinate_Fasciculus_L_mask.nii.gz,2,60
MNI_space_thr_50_Uncinate_Fasciculus_R_mask.nii.gz,0,61
MNI_space_thr_50_Uncinate_Fasciculus_R_mask.nii.gz,1,61
MNI_space_thr_50_Uncinate_Fasciculus_R_mask.nii.gz,2,61
MNI_space_thr_50_Vertical_Occipital_Fasciculus_L_mask.nii.gz,0,62
MNI_space_thr_50_Vertical_Occipital_Fasciculus_L_mask.nii.gz,1,62
MNI_space_thr_50_Vertical_Occipital_Fasciculus_L_mask.nii.gz,2,62
MNI_space_thr_50_Vertical_Occipital_Fasciculus_R_mask.nii.gz,0,63
MNI_space_thr_50_Vertical_Occipital_Fasciculus_R_mask.nii.gz,1,63
MNI_space_thr_50_Vertical_Occipital_Fasciculus_R_mask.nii.gz,2,63
